 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00500 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 35.000000
Coef. de Esparcimiento: 450.000000
Coef. de Anisotropia: 0.800000
Indice de Refracción: 1.330000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
1.59170 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.59670 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.60170 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.60670 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.61169 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.61669 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.62169 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.62669 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.63168 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.63668 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.64168 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.64668 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.65167 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.65667 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.66167 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.66667 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.67166 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.67666 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.68166 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.68666 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.69165 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.69665 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.70165 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.70665 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.71164 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.71664 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.72164 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.72664 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.73163 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.73663 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.74163 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.74663 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.75162 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.75662 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.76162 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.76662 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.77161 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.77661 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.78161 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.78661 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.79160 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.79660 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.80160 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.80660 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.81159 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.81659 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.82159 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.82659 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.83158 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.83658 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.84158 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.84658 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.85157 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.85657 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.86157 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.86657 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.87156 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.87656 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.88156 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.88656 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.89155 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.89655 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.90155 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.90655 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.91154 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.91654 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.92154 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.92654 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.93153 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.93653 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.94153 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.94653 	 0.000e+00 	 0.000e+00 	 0.000e+00 
